variable,description,type,notes
participant,Repository-specific anonymous participant identifier used only for linkage across deposited files,string,R01-R10
2-Hydroxybutyric,Transformed score for 2-Hydroxybutyric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Hydroxyhippuric,Transformed score for 2-Hydroxyhippuric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Hydroxyisocaproic,Transformed score for 2-Hydroxyisocaproic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Hydroxyisovaleric,Transformed score for 2-Hydroxyisovaleric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Hydroxyphenylacetic,Transformed score for 2-Hydroxyphenylacetic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Oxo-4-methiolbutyric,Transformed score for 2-Oxo-4-methiolbutyric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Oxoglutaric,Transformed score for 2-Oxoglutaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Oxoisocaproic,Transformed score for 2-Oxoisocaproic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
2-Oxoisovaleric,Transformed score for 2-Oxoisovaleric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Hydroxy-3-methylglutaric,Transformed score for 3-Hydroxy-3-methylglutaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Hydroxybutyric,Transformed score for 3-Hydroxybutyric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Hydroxyglutaric,Transformed score for 3-Hydroxyglutaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Indoleacetic,Transformed score for 3-Indoleacetic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Methyl-2-oxovaleric,Transformed score for 3-Methyl-2-oxovaleric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Methylglutaconic,Transformed score for 3-Methylglutaconic. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
3-Methylglutaric,Transformed score for 3-Methylglutaric. Two-sided analytes use z-approx = (x - mu) / sigma. One-sided analytes use fraction-of-upper-limit = x / U.,float,z-approx or fraction-of-upper-limit (see audit table for interval type per participant-analyte)
