analyte,PC1,PC2
2-Hydroxybutyric,0.15265595462477508,-0.1229292225392044
2-Hydroxyhippuric,-0.003003852844478893,0.2062235330196402
2-Hydroxyisocaproic,0.13006277523579926,-0.18843941436752834
2-Hydroxyisovaleric,0.17130322470723053,0.0469508269830248
2-Hydroxyphenylacetic,0.07862771168673911,-0.002481068227046676
2-Oxo-4-methiolbutyric,0.11315576151050703,-0.13116369536142095
2-Oxoglutaric,0.1411543583740396,0.09931090055050355
2-Oxoisocaproic,-0.12689252560848888,0.18000629172566654
2-Oxoisovaleric,-0.046517091536469234,0.056691788843709484
3-Hydroxy-3-methylglutaric,0.13907731266454626,0.1750162072426266
3-Hydroxybutyric,0.1482959358537597,-0.05183126100081009
3-Hydroxyglutaric,0.14352653285757166,0.02505880212710456
3-Indoleacetic,0.16250832408783442,-0.028937834494467792
3-Methyl-2-oxovaleric,-0.00819942298943739,-0.054585163505576934
3-Methylglutaconic,0.12425653196155827,0.14311094183636333
3-Methylglutaric,0.13479530363350317,0.12324408700209386
3-Oxoglutaric,0.13828169730429932,-0.15625221502915768
4-Cresol,-0.09855373543814559,0.07081088210039316
4-Hydroxybenzoic,0.13094144855253195,0.007912708530534912
4-Hydroxybutyric,0.11232036839656996,-0.1853210526985017
4-Hydroxyhippuric,0.03216234934229389,0.11108007497272657
4-Hydroxyphenylacetic,0.15235443677917246,0.06408332368464326
4-Hydroxyphenyllactic,0.1453854750021562,0.07595521483394203
5-Hydroxyindoleacetic (5-HIAA),0.12946824533567214,0.19021919226887427
5-Hydroxymethyl-2-furoic,-0.02385799398230448,0.060092331412734123
Acetoacetic,0.10057775671755317,-0.11608171407341869
Aconitic,0.11350013478030044,-0.04275839166931
Adipic,0.11441334408472917,-0.011355980983265018
Arabinose,-0.03140069307230056,0.25467449922087526
Ascorbic,0.0146720670955928,-0.001133311306942413
Carboxycitric,0.04414141684225739,0.02118744176894345
Citramalic,0.12570474688145655,0.14689942451246324
Citric,0.1687706808447214,0.10166203732520428
DHPPA (Beneficial Bacteria),0.0831459522335606,0.0035115917784968257
Dihydroxyphenylacetic (DOPAC),0.12531377634279767,-0.18091527022341677
Ethylmalonic,0.09705790921223617,0.16075698895227694
Fumaric,0.1530960956594443,0.03261356490314708
"Furan-2,5-dicarboxylic",-0.04665997539294376,0.12473706776211177
Furancarbonylglycine,0.07914991172182802,-0.06192503698514147
Glutaric,0.14293010169228956,0.0026651946850027503
Glyceric,0.16850641469256894,0.07772813717698679
Glycolic,0.10898084310560145,-0.22601683860191793
HPHPA,-0.02227912744596786,-0.1260960359209827
HVA / VMA Ratio,-0.00525508453200749,-0.06615099448833256
HVA/ DOPAC Ratio,-0.04565225676911348,0.26147069963722736
Hippuric,0.07412142299401286,0.028729535954597974
Homogentisic,0.11936199535617956,-0.006426641656871793
Homovanillic (HVA),0.16814931423038862,0.035062149742424206
Kynurenic,-0.01663981738163155,0.08899572785583638
Lactic,0.16905890498805992,-0.011615158599321147
Malic,0.14601858199185683,0.06408858826849718
Malonic,0.08263105289547207,-0.2022933402943162
Mandelic,0.1076375264492026,0.0992296671837325
Methylcitric,0.1046450040337226,0.15655931415175642
Methylmalonic,0.12786460829657922,-0.19539900676079483
Methylsuccinic,0.11002427158177647,0.14323124259168662
N-Acetylaspartic,0.11272942408723499,-0.02443217810697889
N-Acetylcysteine (NAC),0.00878106716499698,0.04043840798685992
Orotic,0.17358049379205023,0.0024193948319854567
Oxalic,-0.013300080145416077,-0.032045796159268086
Pantothenic (B5),0.08370518690470477,0.03814076149813603
Phenyllactic,0.06681100794741635,0.0581735374322026
Phenylpyruvic,0.04454574503761726,-0.03680007154877011
Pyridoxic (B6),0.1527527242934085,0.10329205183490081
Pyroglutamic,0.16950549982883817,0.1120482754611673
Pyruvic,-0.11020384728664238,0.2266007488521428
Quinolinic,0.10052074063054982,0.1781429294978523
Sebacic,0.148871961861691,-0.13582268542781636
Suberic,0.1517688968231348,0.03758055900918297
Succinic,0.1374025171878391,-0.02645779098854157
Tartaric,0.013921341235144527,0.0919086942538486
Thymine,0.15361101560466073,-0.03784688781528634
Tricarballylic,0.001332139586037689,0.026204523274888446
Uracil,0.16776559134612815,-0.009084161206148912
Vanillylmandelic (VMA),0.12759812397441395,0.09999025853979847
